unit,factor,r,p,bucket,partial_r,partial_p
0,leniency,0.589587538860031,0.0,strong,,
1,leniency,0.41627843768072414,7.967407627032545e-209,strong,,
2,leniency,0.6131632391654304,0.0,strong,,
3,leniency,0.2078757739402511,6.178954222526493e-50,moderate,,
4,leniency,0.2771152190398629,7.78802401016824e-89,moderate,,
5,leniency,0.36754079223600244,9.58762575139462e-160,strong,,
6,leniency,0.394021396812391,2.2213965729605844e-185,strong,,
7,leniency,0.29839008243993975,2.342194369698204e-103,moderate,,
8,leniency,0.27208786528431106,1.3813643722925956e-85,moderate,,
9,leniency,0.44597200460979686,5.347610104322189e-243,strong,,
10,leniency,0.3138435933014255,1.039979449596632e-114,strong,,
11,leniency,0.3924754231420892,8.116269777142653e-184,strong,,
12,leniency,0.44807660405313776,1.4928118333917934e-245,strong,,
13,leniency,0.33995494525652703,1.7108675198535865e-135,strong,,
14,leniency,0.38596453844641965,2.5087728082308876e-177,strong,,
15,leniency,0.38719107946869236,1.5419037033786893e-178,strong,,
16,leniency,0.32912945219537115,1.2567672584539528e-126,strong,,
17,leniency,0.47231240711900446,2.689982064499393e-276,strong,,
18,leniency,0.4462941993041558,2.1792587666624878e-243,strong,,
19,leniency,0.5527430092557593,0.0,strong,,
20,leniency,0.49200160537768733,3.628492028635153e-303,strong,,
21,leniency,0.511707869570871,0.0,strong,,
22,leniency,0.3071709254887694,1.0082358408423884e-109,strong,,
23,leniency,0.27472397095018114,2.7882916953202465e-87,moderate,,
24,leniency,0.26832748166975967,3.353970739179947e-83,moderate,,
25,leniency,0.3957049763016376,4.3176911212204993e-187,strong,,
26,leniency,0.3170351698638302,3.854109079961774e-117,strong,,
27,leniency,0.3067842971963801,1.9432573985606536e-109,strong,,
28,leniency,0.3214095452284995,1.6033588404308867e-120,strong,,
29,leniency,0.13080389647997553,1.5893082523516393e-20,moderate,,
30,leniency,0.30951119791802584,1.859528894328642e-111,strong,,
31,leniency,0.4957482177324519,1.755200614247623e-308,strong,,
32,leniency,0.29047855393042515,8.270822839068725e-98,moderate,,
33,leniency,0.38404951638577384,1.9076825926300897e-175,strong,,
34,leniency,0.40275133359182846,2.3099216644482745e-194,strong,,
35,leniency,0.4294982451039313,1.2860654802470599e-223,strong,,
36,leniency,0.33641400763941864,1.4883407840696818e-132,strong,,
37,leniency,0.504162391348336,1.155e-320,strong,,
38,leniency,0.1946587908554564,6.876355080586625e-44,moderate,,
39,leniency,0.2527541524106549,1.0014568438651923e-73,moderate,,
40,leniency,0.38885298780172006,3.454398564057102e-180,strong,,
41,leniency,0.38566939508203585,4.899920995073049e-177,strong,,
42,leniency,0.4547026821171277,1.0328929178743607e-253,strong,,
43,leniency,0.49046158527036593,5.3142314788671825e-301,strong,,
44,leniency,0.5694508029604703,0.0,strong,,
45,leniency,0.4363586391295008,1.4736911698569737e-231,strong,,
46,leniency,0.4589448990677295,4.944458051410745e-259,strong,,
47,leniency,0.5047826179688549,1.413e-321,strong,,
48,leniency,0.5758701820979617,0.0,strong,,
49,leniency,0.3956867743039716,4.5061686799392634e-187,strong,,
50,leniency,0.29779130738326964,6.247475634201819e-103,moderate,,
51,leniency,0.33144074669457435,1.7231424156825465e-128,strong,,
52,leniency,0.5174086346596853,0.0,strong,,
53,leniency,0.4675915663414334,4.1193417875374056e-270,strong,,
54,leniency,0.2574067227840923,1.7275711628973476e-76,moderate,,
55,leniency,0.28158618581690437,8.790509327978862e-92,moderate,,
56,leniency,0.5952736411398881,0.0,strong,,
57,leniency,0.2856761624444225,1.5830138501178121e-94,moderate,,
58,leniency,0.6028831554190996,0.0,strong,,
59,leniency,0.2656735429075774,1.5346831520311647e-81,moderate,,
60,leniency,0.4285077969356857,1.7401841266937933e-222,strong,,
61,leniency,0.2847116607209972,7.093768391244505e-94,moderate,,
62,leniency,0.3438996252903933,8.182816396838572e-139,strong,,
63,leniency,0.28546010523125753,2.2162922420936626e-94,moderate,,
64,leniency,0.5040072168199168,1.9516e-320,strong,,
65,leniency,0.33078585878299943,5.831938259454528e-128,strong,,
66,leniency,0.5792882581143709,0.0,strong,,
67,leniency,0.46591013286189686,6.228695013059628e-268,strong,,
68,leniency,0.29579386597814694,1.6207003835304966e-101,moderate,,
69,leniency,0.24697091434480428,2.270210678050894e-70,moderate,,
70,leniency,0.24966175895878262,6.39328611249915e-72,moderate,,
71,leniency,0.47333045073247265,1.211023341361197e-277,strong,,
72,leniency,0.5720232116198775,0.0,strong,,
73,leniency,0.2463440320951915,5.1824529069711946e-70,moderate,,
74,leniency,0.4386960737656268,2.634339681871358e-234,strong,,
75,leniency,0.5577165337574734,0.0,strong,,
76,leniency,0.5884989945942137,0.0,strong,,
77,leniency,0.4147347625770574,3.852042346590202e-207,strong,,
78,leniency,0.314861515016381,1.7575159281734743e-115,strong,,
79,leniency,0.2741229129635432,6.815093402757713e-87,moderate,,
80,leniency,0.6118753549066392,0.0,strong,,
81,leniency,0.5152005139676554,0.0,strong,,
82,leniency,0.14866625072241443,4.173796783992089e-26,moderate,,
83,leniency,0.39826167115519984,1.040441163270026e-189,strong,,
84,leniency,0.3650566813469292,1.8442407835768565e-157,strong,,
85,leniency,0.5053963311343137,1.8e-322,strong,,
86,leniency,0.3069024341102883,1.5903847088538814e-109,strong,,
87,leniency,0.4427650853738432,3.851391432457107e-239,strong,,
88,leniency,0.2847712733760576,6.466830195028554e-94,moderate,,
89,leniency,0.34634596367633913,6.751814144987372e-141,strong,,
90,leniency,0.525476977933639,0.0,strong,,
91,leniency,0.28406332317978966,1.9377252350085994e-93,moderate,,
92,leniency,0.4677680417988619,2.4286308684279807e-270,strong,,
93,leniency,0.5119046181176724,0.0,strong,,
94,leniency,0.3609990733413072,8.981952380526952e-154,strong,,
95,leniency,0.5385935269716416,0.0,strong,,
96,leniency,0.5866344273078534,0.0,strong,,
97,leniency,0.40354978799845276,3.376185150832698e-195,strong,,
98,leniency,0.43764383662472356,4.5738941958969345e-233,strong,,
99,leniency,0.3329760100612642,9.770522659946005e-130,strong,,
100,leniency,0.2492113165403631,1.1656449593501076e-71,moderate,,
101,leniency,0.5676071301179675,0.0,strong,,
102,leniency,0.3028895011556706,1.3651835299266106e-106,strong,,
103,leniency,0.5314116774907913,0.0,strong,,
104,leniency,0.4257394585788863,2.413787265928766e-219,strong,,
105,leniency,0.44767894607601466,4.549732564177303e-245,strong,,
106,leniency,0.5532100603539861,0.0,strong,,
107,leniency,0.2356127940385172,4.933723893565206e-64,moderate,,
